"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2015,,,,,,,,2016,,,,,,,,,2017,,,,,,,2018,,,,,,,,2019,,,,,,,,Yearly Change  ,
Prednicarbate,Prednicarbate,Oceanside Pharm,"$51,542.14","35,041",549,413,$1.47,$93.88,$124.80,0,"$160,776.61","113,226","1,717","1,045",$1.42,$93.64,$153.85,0,"$147,000.12","93,273","1,422",904,$1.58,$103.38,$162.61,0,"$124,964.61","$77,490.00","1,154",715,$1.61,$108.29,$174.78,0,"$82,342.13","50,760",771,507,$1.62,$106.80,$162.41,0,0.59%,2.48%
Prednisolone,Prednisolone,Hi-Tech/Akorn C,"$234,129.86","3,560,560","23,985","18,601",$0.07,$9.76,$12.59,0,"$354,731.92","3,706,830","24,221","19,095",$0.10,$14.65,$18.58,0,"$358,128.10","3,871,787","24,324","19,672",$0.09,$14.72,$18.20,0,"$665,955.33","$5,891,163.77","34,395","26,893",$0.11,$19.36,$24.76,0,"$1,035,951.65","8,533,132","49,481","36,974",$0.12,$20.94,$28.02,0,7.40%,16.57%
Prednisolone,Prednisolone,Qualitest/Par P,"$34,398.75","604,241","4,029","3,409",$0.06,$8.54,$10.09,0,"$115,820.71","1,289,324","8,826","7,337",$0.09,$13.12,$15.79,0,"$220,192.27","2,506,761","16,806","13,519",$0.09,$13.10,$16.29,0,"$285,230.02","$2,903,316.40","17,832","14,636",$0.10,$16.00,$19.49,0,"$32,568.93","365,086","2,031","1,865",$0.09,$16.04,$17.46,0,-9.20%,11.88%
Prednisolone Acetate,Prednisolone Acetate,Pacific/Greenst,"$61,744,947.61","8,012,230","1,016,586","619,957",$7.71,$60.74,$99.60,0,"$46,798,794.33","6,694,288","860,678","526,247",$6.99,$54.37,$88.93,0,"$50,406,092.65","7,101,535","934,160","571,892",$7.10,$53.96,$88.14,0,"$59,052,131.33","$8,567,787.97","1,129,598","678,378",$6.89,$52.28,$87.05,0,"$37,125,031.82","5,538,843","764,704","524,120",$6.70,$48.55,$70.83,0,-2.75%,-3.43%
Prednisolone Acetate,Prednisolone Acetate,Sandoz,"$99,937,499.98","12,302,789","1,604,429","972,603",$8.12,$62.29,$102.75,0,"$87,948,532.50","11,727,362","1,576,429","962,750",$7.50,$55.79,$91.35,0,"$97,361,777.22","12,996,442","1,785,063","1,086,612",$7.49,$54.54,$89.60,0,"$87,809,595.57","$12,429,438.43","1,749,444","1,058,485",$7.06,$50.19,$82.96,0,"$101,552,663.06","15,088,468","2,082,292","1,292,593",$6.73,$48.77,$78.57,0,-4.73%,-4.59%
Prednisolone Sodium Phos ODT,Prednisolone Sodium Phosphate,Mylan,"$145,082.56","11,876",376,294,$13.23,$385.86,$493.48,0,"$134,232.41","11,388",381,287,$12.95,$352.32,$467.71,0,"$80,838.71","6,524",259,210,$13.03,$312.12,$384.95,1,"$40,194.85","$3,226.50",156,128,$12.73,$257.66,$314.02,1,"$5,111.62","1,437",28,23,$6.77,$182.56,$222.24,1,-46.85%,-15.43%
Prednisolone Sodium Phos ODT,Prednisolone Sodium Phosphate,Prasco Labs, , , , , , , , ,"$74,978.39","6,141",192,148,$13.23,$390.51,$506.61,1,"$101,121.56","8,636",313,234,$12.88,$323.07,$432.14,0,"$144,365.33","$12,466.00",466,338,$12.49,$309.80,$427.12,0,"$135,488.42","12,437",464,359,$11.80,$292.00,$377.41,0,-5.49%,-3.73%
Prednisolone Sodium Phosphate*,Prednisolone Sodium Phosphate,Burke Therapeut, , , , , , , , , , , , , , , , , , , , , , , , ,"$66,102.70","$16,562.00",65,51,$3.99,"$1,016.96","$1,296.13",0,"$186,804.92","39,035",246,176,$4.79,$759.37,"$1,061.39",0,19.90%,19.90%
Prednisolone Sodium Phosphate*,Prednisolone Sodium Phosphate,Edenbridge Phar, , , , , , , , , , , , , , , , ,"$9,592.03","3,247",18,13,$2.99,$532.89,$737.85,1,"$53,246.64","$17,814.00",100,64,$2.88,$532.47,$831.98,0,"$17,945.71","6,660",58,37,$2.82,$309.41,$485.02,0,-1.82%,-2.86%
Prednisolone Sodium Phosphate*,Prednisolone Sodium Phosphate,Hi-Tech/Akorn C,"$169,484.31","379,601","2,135","1,349",$0.45,$79.38,$125.64,0,"$191,107.04","405,292","2,184","1,349",$0.47,$87.50,$141.67,0,"$142,675.32","307,930","1,566",989,$0.46,$91.11,$144.26,0,"$120,225.04","$257,135.00","1,344",802,$0.47,$89.45,$149.91,0,"$97,438.84","213,060","1,108",693,$0.46,$87.94,$140.60,0,-2.19%,0.60%
Prednisolone Sodium Phosphate*,Prednisolone Sodium Phosphate,Mission Pharm.,"$13,636.80","19,305",174,136,$0.71,$78.37,$100.27,0,"$10,965.14","14,121",153,117,$0.78,$71.67,$93.72,0,"$16,884.24","17,007",191,150,$0.99,$88.40,$112.56,0,"$30,140.17","$30,068.00",325,237,$1.00,$92.74,$127.17,0,"$23,487.34","28,064",227,174,$0.84,$103.47,$134.98,0,-16.51%,4.33%
Prednisolone Sodium Phosphate*,Prednisolone Sodium Phosphate,Morton Grove Ph,"$86,683.12","924,268","6,402","4,718",$0.09,$13.54,$18.37,0,"$85,002.03","948,369","6,329","4,694",$0.09,$13.43,$18.11,0,"$69,209.61","747,036","4,798","3,650",$0.09,$14.42,$18.96,0,"$70,488.16","$747,698.11","4,928","3,638",$0.09,$14.30,$19.38,0,"$31,787.71","315,291","2,016","1,703",$0.10,$15.77,$18.67,0,6.94%,1.82%
Prednisolone Sodium Phosphate*,Prednisolone Sodium Phosphate,Pharmaceutical,"$62,145.06","735,859","5,361","3,882",$0.08,$11.59,$16.01,0,"$65,092.06","785,890","5,282","3,830",$0.08,$12.32,$17.00,0,"$97,246.48","1,061,893","7,252","5,229",$0.09,$13.41,$18.60,0,"$127,167.62","$1,127,661.45","7,919","5,694",$0.10,$16.06,$22.33,0,"$233,724.99","1,868,302","12,776","9,198",$0.12,$18.29,$25.41,0,19.61%,10.19%
Prednisolone Sodium Phosphate*,Prednisolone Sodium Phosphate,Seton Pharmaceu,"$64,065.61","129,619",695,489,$0.49,$92.18,$131.01,0,"$35,616.71","68,669",401,264,$0.52,$88.82,$134.91,0,"$68,138.62","139,566",684,418,$0.49,$99.62,$163.01,0,"$86,564.96","$180,611.90",852,543,$0.48,$101.60,$159.42,0,"$75,489.31","159,495",852,541,$0.47,$88.60,$139.54,0,-1.25%,-1.08%
Prednisolone Sodium Phosphate*,Prednisolone Sodium Phosphate,Valeant/Bausch,"$585,926.56","124,922","12,040","7,780",$4.69,$48.66,$75.31,0,"$1,358,250.34","285,516","27,593","18,395",$4.76,$49.22,$73.84,0,"$828,652.21","161,535","15,468","10,690",$5.13,$53.57,$77.52,0,"$756,061.82","$146,708.00","13,951","9,507",$5.15,$54.19,$79.53,0,"$428,616.47","86,471","8,374","6,465",$4.96,$51.18,$66.30,0,-3.82%,1.39%
Prednisone,Prednisone,AHP,"$1,943.90","7,867",318,235,$0.25,$6.11,$8.27,0,"$19,155.33","65,983","2,633","1,146",$0.30,$7.28,$16.71,0,"$10,511.02","31,926","1,615",977,$0.34,$6.51,$10.76,0,"$3,820.57","$9,537.00",562,343,$0.40,$6.80,$11.14,0,"$33,251.55","157,257","8,510","7,775",$0.22,$3.91,$4.28,0,-45.38%,-3.37%
Prednisone,Prednisone,Actavis/Teva,"$9,569,452.12","51,597,696","1,595,704","889,740",$0.21,$6.00,$10.76,0,"$10,074,403.68","56,300,486","1,806,520","998,880",$0.20,$5.58,$10.09,0,"$13,553,142.20","71,921,755","2,379,094","1,297,692",$0.21,$5.70,$10.44,0,"$14,783,548.17","$71,718,791.60","2,444,022","1,382,433",$0.24,$6.05,$10.69,0,"$16,741,092.08","91,539,450","3,049,049","1,793,097",$0.21,$5.49,$9.34,0,-10.79%,-0.03%
Prednisone,Prednisone,Cambridge Thera, , , , , , , , , , , , , , , , ,$173.49,997,16, ,$0.17,$10.84, ,1,$300.96,"$1,931.00",38,18,$0.16,$7.92,$16.72,0,$284.64,"1,849",42,17,$0.15,$6.78,$16.74,0,-1.23%,-5.94%
Prednisone,Prednisone,H.J. Harkins/Ph, , , , , , , , , , , , , , , , , , , , , , , , ,$41.72,$183.00,11,11,$0.23,$3.79,$3.79,1,$35.64,176,11, ,$0.20,$3.24, ,1,-12.39%,-12.39%
Prednisone,Prednisone,Jubilant Cadist,"$16,636,296.70","88,832,483","2,216,945","1,149,907",$0.21,$7.50,$14.47,0,"$22,584,756.56","125,648,030","2,997,536","1,446,828",$0.20,$7.53,$15.61,0,"$27,357,685.34","143,440,914","3,519,424","1,707,713",$0.22,$7.77,$16.02,0,"$25,224,600.39","$131,776,255.11","3,445,469","1,733,932",$0.22,$7.32,$14.55,0,"$21,354,325.39","107,597,813","3,118,603","1,713,151",$0.22,$6.85,$12.46,0,-0.81%,1.33%
Prednisone,Prednisone,Lannett Co. Inc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$159,133.15","1,049,886","39,412","37,346",$0.18,$4.04,$4.26,0, , 
Prednisone,Prednisone,Mckesson Packag,"$34,411.88","127,407","4,701","1,961",$0.27,$7.32,$17.55,0,"$22,356.38","76,760","3,315","1,461",$0.30,$6.74,$15.30,0,"$19,886.92","92,340","3,367","1,768",$0.23,$5.91,$11.25,0,"$17,669.87","$59,161.50","2,781","1,458",$0.32,$6.35,$12.12,0,"$36,075.77","160,862","6,731","5,410",$0.25,$5.36,$6.67,0,-21.69%,-2.48%
Prednisone,Prednisone,Mylan, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$5,447,281.82","41,214,391","991,796","616,172",$0.14,$5.49,$8.84,0, , 
Prednisone,Prednisone,Novitium Pharma, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,$323.32,"1,750",83,83,$0.19,$3.90,$3.90,0, , 
Prednisone,Prednisone,Qualitest/Par P,"$20,466,702.66","106,097,339","2,017,999","1,023,430",$0.24,$10.14,$20.00,0,"$15,437,697.43","74,975,947","1,481,394","810,626",$0.28,$10.42,$19.04,0,"$14,389,587.31","67,990,784","1,244,418","655,066",$0.30,$11.56,$21.97,0,"$10,656,329.24","$53,559,151.75","888,342","463,356",$0.29,$12.00,$23.00,0,"$12,597,331.82","62,816,147","1,316,192","826,573",$0.27,$9.57,$15.24,0,-9.79%,2.82%
Prednisone,Prednisone,Roxane/West-War,"$10,331,586.97","59,679,524","1,374,182","578,294",$0.25,$7.52,$17.87,0,"$11,294,544.83","68,719,415","1,504,721","650,251",$0.25,$7.51,$17.37,0,"$11,944,874.74","68,899,854","1,498,148","674,852",$0.27,$7.97,$17.70,0,"$12,828,919.28","$78,172,729.66","1,673,053","755,457",$0.25,$7.67,$16.98,0,"$15,440,976.60","97,557,912","2,070,867","963,839",$0.23,$7.46,$16.02,0,-9.70%,-2.32%
Prednisone,Prednisone,West-Ward/Hikma,"$15,600,008.93","77,287,931","1,974,267","1,073,728",$0.23,$7.90,$14.53,0,"$14,362,570.82","74,314,530","1,986,791","1,123,550",$0.22,$7.23,$12.78,0,"$14,737,606.45","73,996,564","2,171,967","1,289,580",$0.23,$6.79,$11.43,0,"$15,945,666.31","$89,110,857.23","2,390,342","1,410,347",$0.22,$6.67,$11.31,0,"$20,975,606.82","122,663,349","3,375,551","2,122,643",$0.21,$6.21,$9.88,0,-6.74%,-2.59%
Prednisone,Prednisone,West-Ward/Mylan,"$18,665,368.38","93,557,298","2,686,896","1,446,514",$0.22,$6.95,$12.90,0,"$18,385,107.52","96,418,621","2,805,470","1,500,442",$0.22,$6.55,$12.25,0,"$14,282,090.20","85,935,994","2,617,324","1,431,742",$0.19,$5.46,$9.98,0,"$14,836,519.09","$95,803,414.85","2,983,329","1,633,373",$0.18,$4.97,$9.08,0,"$2,393,970.10","16,351,376","543,613","432,336",$0.17,$4.40,$5.54,0,-9.39%,-7.40%
Prednisone Intensol,Prednisone,Roxane/West-War,"$62,158.44","42,522",531,331,$1.46,$117.06,$187.79,0,"$73,860.68","48,160",502,329,$1.53,$147.13,$224.50,0,"$115,359.93","50,836",558,362,$2.27,$206.74,$318.67,0,"$176,561.97","$45,886.00",608,365,$3.85,$290.40,$483.73,0,"$189,458.27","45,497",633,397,$4.16,$299.30,$477.22,0,8.22%,29.92%
Prefest,Estradiol/Norgestimate,Teva Women's He,"$272,250.74","80,954","1,608",417,$3.36,$169.31,$652.88,0,"$239,987.36","69,169","1,343",336,$3.47,$178.69,$714.25,0,"$218,060.87","57,255","1,058",281,$3.81,$206.11,$776.02,0,"$206,039.62","$51,484.00",864,234,$4.00,$238.47,$880.51,0,"$219,770.94","47,626",785,197,$4.61,$279.96,"$1,115.59",0,15.30%,8.23%
Pregabalin,Pregabalin,AHP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$6,092.04","5,528",124,48,$1.10,$49.13,$126.92,0, , 
Pregabalin,Pregabalin,Alembic Pharmac, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$9,980,583.17","8,247,684","107,240","50,524",$1.21,$93.07,$197.54,0, , 
Pregabalin,Pregabalin,Amneal Pharmace, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$29,644,749.88","22,850,386","295,987","121,679",$1.30,$100.16,$243.63,0, , 
Pregabalin,Pregabalin,Ascend Laborato, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$1,412,510.92","1,137,188","13,285","7,745",$1.31,$106.32,$182.38,0, , 
Pregabalin,Pregabalin,"Cipla USA, Inc.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$28,755,735.34","19,838,227","227,054","97,576",$1.45,$126.65,$294.70,0, , 
Pregabalin,Pregabalin,Dr.Reddy'S Lab, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$29,166,533.94","22,506,188","282,021","137,407",$1.30,$103.42,$212.26,0, , 
Pregabalin,Pregabalin,Exelan Pharmace, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$48,497.57","36,302",552,273,$1.34,$87.86,$177.65,0, , 
Pregabalin,Pregabalin,Greenstone LLC., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$8,997,663.96","7,043,230","87,830","51,948",$1.28,$102.44,$173.21,0, , 
Pregabalin,Pregabalin,"Gsms, Inc.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$15,803.23","4,904",65,43,$3.26,$243.13,$367.52,1, , 
Pregabalin,Pregabalin,Major Pharmaceu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$59,230.60","74,346","1,198",774,$0.81,$49.44,$76.53,0, , 
Pregabalin,Pregabalin,Novadoz Pharmac, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$31,485,454.25","23,176,036","289,299","126,606",$1.36,$108.83,$248.69,0, , 
Pregabalin,Pregabalin,Rising Pharm, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$19,004,515.74","15,876,038","217,465","88,996",$1.20,$87.39,$213.54,0, , 
Pregabalin,Pregabalin,Sciegen Pharmac, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$14,545,958.82","10,255,564","139,427","62,921",$1.42,$104.33,$231.18,0, , 
Pregabalin,Pregabalin,Teva USA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$11,691,274.58","10,349,736","131,019","66,879",$1.13,$89.23,$174.81,0, , 
Pregnyl,"Chorionic Gonadotropin, Human",Organon Pharm.,"$48,251.21",761,222,77,$63.41,$217.35,$626.64,1,"$66,336.66","1,066",340,90,$62.23,$195.11,$737.07,1,"$78,660.41","1,134",359,99,$69.37,$219.11,$794.55,1,"$77,310.98",$944.00,370,121,$81.90,$208.95,$638.93,1,"$83,088.84",973,392,105,$85.39,$211.96,$791.32,1,4.27%,7.73%
Premarin*,"Estrogens, Conjugated",Wyeth/Pfizer*,"$341,495,675.83","62,341,717","1,582,105","533,683",$5.87,$215.85,$639.88,0,"$304,597,994.95","46,734,926","1,179,459","429,525",$7.00,$258.25,$709.15,0,"$314,238,266.28","42,248,762","1,049,778","373,860",$8.03,$299.34,$840.52,0,"$297,619,962.48","$37,642,430.66","922,662","336,465",$8.59,$322.57,$884.55,0,"$306,465,367.13","37,029,784","889,474","324,490",$9.09,$344.55,$944.45,0,5.81%,11.56%
Premasol,Parenteral Amino Acid 10% No.7,Baxter Healthca, , , , , , , , , , , , , , , , , , , , , , , , ,"$368,611.14","$3,858,000.00",44, ,$0.10,"$8,377.53", ,0,"$518,754.86","5,454,000",61, ,$0.10,"$8,504.18", ,0,-0.45%,-0.45%
Premphase,"Estrogen,Con/M-Progest Acet",Wyeth/Pfizer,"$579,747.56","124,066","3,187",600,$4.67,$181.91,$966.25,0,"$525,423.77","94,834","2,374",470,$5.54,$221.32,"$1,117.92",0,"$558,371.01","88,901","2,128",394,$6.28,$262.39,"$1,417.19",0,"$544,080.07","$82,951.00","1,830",347,$6.56,$297.31,"$1,567.95",0,"$492,090.20","71,873","1,514",320,$6.85,$325.03,"$1,537.78",0,4.38%,10.02%
Prempro,"Estrogen,Con/M-Progest Acet",Wyeth/Pfizer,"$40,970,154.68","8,842,539","211,757","43,309",$4.63,$193.48,$946.00,0,"$37,159,658.28","6,752,565","161,957","34,608",$5.50,$229.44,"$1,073.73",0,"$38,154,785.20","6,128,433","143,809","28,956",$6.23,$265.32,"$1,317.68",0,"$36,566,115.48","$5,626,582.50","127,523","25,832",$6.50,$286.74,"$1,415.54",0,"$37,929,364.53","5,558,433","119,462","24,454",$6.82,$317.50,"$1,551.05",0,5.03%,10.16%
Prenaissance,PNV 80/Iron Fum/Folic/DSS/DHA,Acella Pharmace,"$5,213.76","2,460",54,26,$2.12,$96.55,$200.53,0,"$4,924.03","2,100",42,20,$2.34,$117.24,$246.20,0,"$9,301.57","4,050",73,27,$2.30,$127.42,$344.50,0,"$7,887.80","$3,030.00",38,14,$2.60,$207.57,$563.41,0,"$4,071.34","1,500",22,11,$2.71,$185.06,$370.12,1,4.26%,6.38%
Prenaissance Plus,PNV 69/Iron/Folic/Docusate/DHA,Acella Pharmace,"$2,775.88","1,740",50,12,$1.60,$55.52,$231.32,0,"$5,291.94","3,300",73,22,$1.60,$72.49,$240.54,0,"$6,854.85","4,283",93,25,$1.60,$73.71,$274.19,0,"$8,163.11","$4,979.00",91,34,$1.64,$89.70,$240.09,0,"$9,800.04","5,489",118,32,$1.79,$83.05,$306.25,0,8.90%,2.85%
Prenata,Prenatal Vit37/Iron/Folic Acid,Sancilio & Comp,"$3,546.28","9,109",211,86,$0.39,$16.81,$41.24,0,"$3,105.11","7,803",193,93,$0.40,$16.09,$33.39,0,"$3,602.86","12,008",300,119,$0.30,$12.01,$30.28,0,$951.54,"$10,579.00",243,108,$0.09,$3.92,$8.81,0,$133.10,"3,419",62,39,$0.04,$2.15,$3.41,0,-56.72%,-43.77%
Prenatal 19,Prenat 115/Iron Fum/Folic/DSS,Nationwide Labo,"$1,517.42","5,506",124,62,$0.28,$12.24,$24.47,0,"$1,871.50","7,077",156,69,$0.26,$12.00,$27.12,0,$392.85,"1,451",39,18,$0.27,$10.07,$21.83,0,"$1,030.49","$3,819.00",92,55,$0.27,$11.20,$18.74,0,"$1,399.62","4,863",146,65,$0.29,$9.59,$21.53,0,6.66%,1.09%
Prenatal Plus,"PNV,Calcium 72/Iron,Carb/Folic",Nationwide Labo,"$4,983.75","29,251",734,286,$0.17,$6.79,$17.43,0,"$9,569.68","61,497","1,531",550,$0.16,$6.25,$17.40,0,"$3,559.06","21,994",592,244,$0.16,$6.01,$14.59,0,"$4,971.95","$30,141.00",732,293,$0.16,$6.79,$16.97,0,"$2,373.87","15,980",409,177,$0.15,$5.80,$13.41,0,-9.94%,-3.37%
Prenatal Plus,"PNV,Calcium 72/Iron/Folic Acid",Avkare,"$1,915.46","6,531",199,79,$0.29,$9.63,$24.25,0,"$1,730.75","6,186",181,70,$0.28,$9.56,$24.73,0,"$2,723.31","9,622",283,78,$0.28,$9.62,$34.91,0,"$3,749.77","$14,094.00",392,192,$0.27,$9.57,$19.53,0,"$2,625.55","10,394",263,157,$0.25,$9.98,$16.72,0,-5.06%,-3.66%
Prenatal Plus,"PNV,Calcium 72/Iron/Folic Acid",Sancilio & Comp,"$592,701.87","1,418,965","36,219","10,778",$0.42,$16.36,$54.99,0,"$633,308.19","1,498,911","37,926","11,438",$0.42,$16.70,$55.37,0,"$629,160.72","1,655,301","40,508","11,377",$0.38,$15.53,$55.30,0,"$148,089.55","$1,360,024.00","30,249","9,959",$0.11,$4.90,$14.87,0,"$14,959.96","283,327","5,590","2,251",$0.05,$2.68,$6.65,0,-51.51%,-40.37%
Prenatal Plus-DHA,Prenatal72/Iron Fum/FA/Om3/DHA,Sancilio & Comp, , , , , , , , , , , , , , , , ,$600.20,"5,280",67,33,$0.11,$8.96,$18.19,0,$767.48,"$7,860.00",81,44,$0.10,$9.48,$17.44,0,$96.88,"4,500",37,18,$0.02,$2.62,$5.38,0,-77.95%,-56.48%
Prenatal Vitamin Plus Low Iron,"PNV,Calcium 72/Iron/Folic Acid",Nnodum Corp, , , , , , , , ,"$4,658.04","40,541",877,462,$0.11,$5.31,$10.08,0,"$21,749.33","160,690","4,011","1,404",$0.14,$5.42,$15.49,0,"$44,256.47","$308,487.00","7,801","3,067",$0.14,$5.67,$14.43,0,"$104,250.32","849,350","18,667","6,209",$0.12,$5.58,$16.79,0,-14.44%,2.23%
Prenatal Vitamin Plus Low Iron,"PNV,Calcium 72/Iron/Folic Acid",Patrin Pharma,"$88,053.62","259,795","7,220","2,480",$0.34,$12.20,$35.51,0,"$89,101.74","274,319","7,721","2,360",$0.32,$11.54,$37.75,0,"$78,004.74","238,079","6,794","1,872",$0.33,$11.48,$41.67,0,"$101,341.81","$324,480.00","8,834","2,999",$0.31,$11.47,$33.79,0,"$213,983.46","753,965","20,384","5,671",$0.28,$10.50,$37.73,0,-9.13%,-4.34%
Prenate Chewable,Multivitamin No.36/Folate No.6,Avion Pharmaceu,"$23,053.52","5,693",142,67,$4.05,$162.35,$344.08,0,"$15,946.46","3,150",77,31,$5.06,$207.10,$514.40,0,"$22,873.25","3,780",92,49,$6.05,$248.62,$466.80,0,"$26,374.49","$3,810.00",69,40,$6.92,$382.24,$659.36,0,"$21,934.34","2,660",69,23,$8.25,$317.89,$953.67,0,19.12%,19.46%
Prenate DHA,Prenatal 78/Iron/Folate 1/DHA,Avion Pharmaceu,"$33,287.55","7,558",195,83,$4.40,$170.71,$401.05,0,"$45,460.84","8,903",230,75,$5.11,$197.66,$606.14,0,"$56,056.20","9,475",199,82,$5.92,$281.69,$683.61,0,"$48,569.70","$6,938.00",143,57,$7.00,$339.65,$852.10,0,"$44,672.18","5,548",120,45,$8.05,$372.27,$992.72,0,15.02%,16.28%
Prenate Elite,Prenatal 114/Iron A-G/Folate 1,Avion Pharmaceu,"$34,865.83","8,036",172,62,$4.34,$202.71,$562.35,0,"$46,320.22","9,362",190,60,$4.95,$243.79,$772.00,0,"$43,450.45","7,463",152,63,$5.82,$285.86,$689.69,0,"$40,077.50","$5,834.00",125,42,$6.87,$320.62,$954.23,0,"$56,384.96","7,080",150,44,$7.96,$375.90,"$1,281.48",0,15.93%,16.40%
Prenate Enhance,Prenatal Vit68/Iron/FA No6/DHA,Avion Pharmaceu,"$7,149.30","1,710",42,18,$4.18,$170.22,$397.18,0,"$11,929.62","2,370",44,18,$5.03,$271.13,$662.76,0,"$16,238.28","2,735",57,20,$5.94,$284.88,$811.91,0,"$15,454.75","$2,268.00",43,16,$6.81,$359.41,$965.92,0,"$7,852.80","1,020",22, ,$7.70,$356.95, ,1,12.98%,16.49%
Prenate Essential,Multivit No.40/Iron/Folat1/DHA,Avion Pharmaceu,"$15,098.41","3,450",85,34,$4.38,$177.63,$444.07,0,"$9,097.29","1,800",37,18,$5.05,$245.87,$505.41,0,"$10,132.16","1,740",28,11,$5.82,$361.86,$921.11,1,"$14,431.42","$2,100.00",40,19,$6.87,$360.79,$759.55,0,"$13,679.24","1,772",37,14,$7.72,$369.71,$977.09,0,12.33%,15.24%
Prenate Mini,Prenatal Vit 87/Iron/Folic/DHA,Avion Pharmaceu,"$49,479.17","11,610",288,134,$4.26,$171.80,$369.25,0,"$91,354.62","18,160",482,216,$5.03,$189.53,$422.94,0,"$138,384.39","23,171",601,223,$5.97,$230.26,$620.56,0,"$186,947.24","$26,527.00",666,230,$7.05,$280.70,$812.81,0,"$184,351.10","22,906",598,200,$8.05,$308.28,$921.76,0,14.20%,17.23%
Prenate Pixie,Prenatal Vit 85/Iron/FA 1/DHA,Avion Pharmaceu, , , , , , , , ,"$9,792.84","1,890",59,18,$5.18,$165.98,$544.05,0,"$13,055.50","2,173",68,27,$6.01,$191.99,$483.54,0,"$29,739.96","$4,200.00",100,31,$7.08,$297.40,$959.35,0,"$44,199.59","5,403",147,36,$8.18,$300.68,"$1,227.77",0,15.53%,16.44%
Preplus,"PNV,Calcium 72/Iron/Folic Acid",Virtus Pharmace,"$212,660.70","663,893","16,372","5,380",$0.32,$12.99,$39.53,0,"$171,827.47","657,586","16,379","5,365",$0.26,$10.49,$32.03,0,"$253,516.18","850,973","19,039","6,175",$0.30,$13.32,$41.06,0,"$431,812.15","$1,050,686.00","24,166","8,859",$0.41,$17.87,$48.74,0,"$352,053.39","1,148,169","26,263","8,755",$0.31,$13.40,$40.21,0,-25.39%,-1.09%
Prepopik,Sod Picosulf/Mag Ox/Citric Ac,Ferring Ph Inc,"$3,205,164.28","58,998","29,108","28,642",$54.33,$110.11,$111.90,0,"$3,574,554.07","61,436","29,924","29,442",$58.18,$119.45,$121.41,0,"$3,111,482.18","49,848","24,936","24,478",$62.42,$124.78,$127.11,0,"$1,088,716.46","$16,569.60","8,251","8,099",$65.71,$131.95,$134.43,0,"$304,763.89","4,540","2,193","2,137",$67.13,$138.97,$142.61,0,2.17%,5.43%
Prestalia,Perindopril Arg/Amlodipine Bes,Symplmed/Adhera, , , , , , , , , , , , , , , , , , , , , , , , ,"$3,300.11",$657.00,14, ,$5.04,$235.72, ,1,"$12,355.69","2,175",57,38,$5.68,$216.77,$325.15,0,12.67%,12.67%
Pretab,"Prenatal Vit,Calc78/Iron/Folic",Virtus Pharmace, , , , , , , , ,"$1,787.23","4,089",111,50,$0.44,$16.10,$35.74,0,"$3,655.31","8,744",214,77,$0.42,$17.08,$47.47,0,"$4,886.75","$12,416.00",273,114,$0.39,$17.90,$42.87,0,"$7,839.57","19,939",501,198,$0.39,$15.65,$39.59,0,-0.10%,-3.47%
Prevacid,Lansoprazole,Takeda Pharmace,"$53,258,955.93","4,798,388","116,884","22,042",$11.17,$455.66,"$2,416.25",0,"$53,155,501.32","4,072,416","96,127","18,364",$13.14,$552.97,"$2,894.55",0,"$46,795,327.68","3,389,823","76,534","14,485",$13.90,$611.43,"$3,230.61",0,"$32,837,242.03","$2,377,118.50","49,252","10,579",$13.89,$666.72,"$3,104.00",0,"$20,649,711.01","1,523,055","25,937","5,479",$13.58,$796.15,"$3,768.88",0,-2.24%,4.99%
