"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2015,,,,,,,,Calendar Year 2016,,,,,,,,Calendar Year 2017,,,,,,,,Calendar Year 2018,,,,,,,,Calendar Year 2019,,,,,,,,Yearly Change  ,
Rozerem,Ramelteon,1,"$45,305,204.12","4,757,229","162,424","45,230",$9.52,$278.93,"$1,001.66",0,"$69,041,576.61","6,192,103","217,988","56,099",$11.15,$316.72,"$1,230.71",0,"$60,469,750.66","5,113,131","171,684","45,059",$11.83,$352.22,"$1,342.01",0,"$56,901,182.84","4,435,740","141,707","36,547",$12.83,$401.54,"$1,556.93",0,"$37,630,580.86","2,866,668","89,979","24,870",$13.13,$418.22,"$1,513.09",0,2.33%,8.35%
Rozlytrek,Entrectinib,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$663,344.33","3,417",41,30,$194.10,"$16,179.13","$22,111.48",0, , 
Rubraca,Rucaparib Camsylate,1, , , , , , , , , , , , , , , , ,"$17,003,162.55","145,433","1,345",395,$116.90,"$12,641.76","$43,045.98",0,"$30,130,553.65","243,171","2,296",610,$123.91,"$13,123.06","$49,394.35",0,"$60,238,183.12","446,831","4,302","1,028",$134.82,"$14,002.37","$58,597.45",0,8.80%,7.39%
Ruconest,"C1 Esterase Inhibitor, Recomb",1, , , ,19, , , , , , , ,20, , , , , , , ,42, , , , ,"$5,106,684.69",868,54,57,"$5,883.28","$94,568.24","$89,590.96",0,"$36,257,040.87","5,902",377,76,"$6,143.18","$96,172.52","$477,066.33",0,4.42%,4.42%
Ruzurgi,Amifampridine,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$1,499,532.43","18,052",88,30,$83.07,"$17,040.14","$49,984.41",0, , 
Rybelsus,Semaglutide,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$367,221.80","14,346",400,308,$25.63,$918.05,"$1,192.28",0, , 
Ryclora,Dexchlorpheniramine Maleate,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$24,214.36","13,508",38,17,$1.79,$637.22,"$1,424.37",0, , 
Rydapt,Midostaurin,1, , , , , , , , , , , , , , , , ,"$9,817,342.52","72,169",725,295,$136.03,"$13,541.16","$33,279.13",0,"$24,792,987.92","172,145","1,714",505,$144.02,"$14,464.99","$49,095.03",0,"$31,073,961.20","200,659","1,933",485,$154.86,"$16,075.51","$64,070.02",0,7.52%,6.70%
Rytary,Carbidopa/Levodopa,2,"$19,085,594.25","8,063,138","29,381","7,406",$2.37,$649.59,"$2,577.04",0,"$45,102,111.71","18,297,986","70,056","11,292",$2.47,$643.80,"$3,994.17",0,"$68,776,886.88","25,610,331","99,177","14,783",$2.70,$693.48,"$4,652.43",0,"$98,791,280.94","33,371,597","126,573","18,370",$2.98,$780.51,"$5,377.86",0,"$134,753,002.16","40,133,337","149,623","21,455",$3.37,$900.62,"$6,280.73",0,13.22%,9.23%
Rythmol SR,Propafenone HCl,1,"$4,746,598.35","486,861","5,229",908,$9.71,$907.74,"$5,227.53",0,"$4,632,520.56","393,102","4,091",721,$11.75,"$1,132.37","$6,425.13",0,"$4,094,653.14","320,082","3,267",565,$12.78,"$1,253.34","$7,247.17",0,"$3,407,151.90","250,410","2,658",451,$13.64,"$1,281.85","$7,554.66",0,"$2,915,412.78","215,229","2,194",372,$13.55,"$1,328.81","$7,837.13",0,-0.64%,8.68%
Ryvent,Carbinoxamine Maleate,1, , , , , , , , , , , , , , , , ,"$24,321.74","6,248",109,76,$3.89,$223.14,$320.02,0,"$169,357.77","44,645",725,400,$3.79,$233.60,$423.39,0,"$248,178.38","59,080",907,390,$4.20,$273.63,$636.35,0,10.74%,3.88%
Sabril,Vigabatrin,1,"$23,270,344.24","258,388","1,598",174,$90.06,"$14,562.17","$133,737.61",0,"$33,589,011.48","298,379","1,817",195,$112.58,"$18,485.97","$172,251.34",0,"$40,520,090.41","327,088","1,954",206,$123.88,"$20,737.00","$196,699.47",0,"$41,777,452.28","307,793","1,833",180,$135.73,"$22,791.85","$232,096.96",0,"$23,834,226.32","158,672",978,156,$150.19,"$24,370.37","$152,783.50",0,10.66%,13.64%
Safetyglide Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",2,"$140,933.82","321,709","3,127","1,006",$0.44,$45.07,$140.09,0,"$143,705.76","330,539","3,192","1,081",$0.44,$45.02,$132.94,0,"$147,502.23","345,549","3,211","1,096",$0.43,$45.94,$134.58,0,"$149,441.94","354,052","3,251","1,215",$0.42,$45.97,$123.00,0,"$153,523.81","364,095","3,261","1,231",$0.42,$47.08,$124.71,0,-0.01%,-0.95%
Safetyglide Insulin Syringe,"Syringe And Needle,Insulin,1ml",1,"$158,588.64","366,835","4,014","1,586",$0.43,$39.51,$99.99,0,"$156,797.05","362,796","3,960","1,494",$0.43,$39.60,$104.95,0,"$177,890.36","411,243","4,659","1,772",$0.43,$38.18,$100.39,0,"$216,800.25","503,898","5,627","2,136",$0.43,$38.53,$101.50,0,"$312,727.54","727,111","7,848","2,862",$0.43,$39.85,$109.27,0,-0.03%,-0.13%
Safetyglide Insulin Syringe,"Syringe,Needle,Insuln,Safe,1ml",1, , , , , , , , , , , , , , , , , , , , , , , , ,"$7,188.61","25,985",205,136,$0.28,$35.07,$52.86,0,"$51,449.61","178,755","1,329",590,$0.29,$38.71,$87.20,0,4.04%,4.04%
Safetyglide Insulin Syringe,"Syringe,Needle,Insuln,Sf 0.5ml",1, , , , , , , , , , , , , , , , , , , , , , , , ,"$4,909.48","17,006",136,77,$0.29,$36.10,$63.76,0,"$32,044.47","113,626",752,386,$0.28,$42.61,$83.02,0,-2.31%,-2.31%
Safetyglide Insulin Syringe,"Syringe,Needle,Insuln,Sf,0.3ml",1, , , , , , , , , , , , , , , , , , , , , , , , ,"$2,368.79","6,148",58,25,$0.39,$40.84,$94.75,0,"$4,930.56","12,030",121,44,$0.41,$40.75,$112.06,0,6.37%,6.37%
Safetyglide Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",2,"$156,925.11","382,141","3,841","1,516",$0.41,$40.86,$103.51,0,"$283,237.47","664,628","6,807","2,309",$0.43,$41.61,$122.67,0,"$296,180.35","704,317","6,906","2,440",$0.42,$42.89,$121.39,0,"$290,665.91","686,226","6,779","2,425",$0.42,$42.88,$119.86,0,"$359,944.35","837,942","7,906","2,680",$0.43,$45.53,$134.31,0,1.39%,1.18%
Safetyglide Syringe,"Syringe And Needle,Insulin,1ml",1,$83.44,204,29,17,$0.41,$2.88,$4.91,1,$490.07,"1,173",46,31,$0.42,$10.65,$15.81,0,"$1,441.15","3,600",113,72,$0.40,$12.75,$20.02,0,"$2,425.60","5,942",190,119,$0.41,$12.77,$20.38,0,"$1,629.50","3,901",199,112,$0.42,$8.19,$14.55,0,2.33%,0.53%
Safyral,Drospir/Eth Estra/Levomefol Ca,1,"$20,225.52","4,508",121,29,$4.49,$167.15,$697.43,0,"$12,490.39","2,352",57,16,$5.31,$219.13,$780.65,0,"$15,145.68","2,408",52,11,$6.29,$291.26,"$1,376.88",0,"$9,374.26","1,316",37, ,$7.12,$253.36, ,0,"$5,316.71",756,22, ,$7.03,$241.67, ,1,-1.27%,11.89%
Saizen,Somatropin,1,"$5,547,072.46","7,680","1,108",198,$703.48,"$5,006.38","$28,015.52",0,"$5,612,425.41","7,197","1,143",182,$743.78,"$4,910.26","$30,837.50",0,"$3,383,786.78","4,025",890,126,$820.93,"$3,802.01","$26,855.45",0,"$2,232,264.07","2,580",352,72,$812.93,"$6,341.66","$31,003.67",0,"$1,612,278.01","1,783",219,31,$766.19,"$7,362.00","$52,008.97",0,-5.75%,2.16%
Saizen-Saizenprep,Somatropin,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$377,146.80",391,135,25,$964.57,"$2,793.68","$15,085.87",0,"$435,919.33",425,162,24,"$1,025.69","$2,690.86","$18,163.31",0,6.34%,6.34%
Salagen,Pilocarpine HCl,1,"$119,717.50","71,403",511,131,$1.67,$234.28,$913.87,0,"$110,157.49","66,860",428,114,$1.65,$257.38,$966.29,0,"$98,765.31","60,131",353,87,$1.64,$279.79,"$1,135.23",0,"$91,463.52","55,484",297,75,$1.65,$307.96,"$1,219.51",0,"$72,213.87","43,377",246,56,$1.66,$293.55,"$1,289.53",0,0.95%,-0.17%
Salex,Salicylic Acid,1, , , , , , , , , , , , , , , , ,"$4,348.21","1,947",11, ,$2.23,$395.29, , ,"$21,034.27","9,027",45,29,$2.33,$467.43,$725.32,0,"$18,979.74","7,965",45,18,$2.38,$421.77,"$1,054.43",0,2.26%,3.30%
Salicylic Acid,Salicylic Acid,3,"$79,444.25","77,244",807,"1,751",$1.24,$98.44,$45.37,0,"$43,183.42","19,338",209,933,$3.38,$206.62,$46.28,0,"$45,481.63","21,018",198,556,$4.03,$229.71,$81.80,0,"$89,623.28","40,190",329,369,$7.20,$272.41,$242.88,1,"$79,663.14","35,774",294,179,$7.73,$270.96,$445.05,1,7.38%,57.88%
Salsalate,Salsalate,5,"$2,716,752.87","2,082,585","15,552","7,460",$1.32,$174.69,$364.18,0,"$2,849,863.49","2,245,629","17,276","5,704",$1.27,$164.96,$499.63,0,"$2,615,027.13","2,048,101","15,275","4,563",$1.28,$171.20,$573.09,0,"$2,149,245.82","1,832,196","13,546","4,072",$1.17,$158.66,$527.81,0,"$1,532,807.57","1,448,062","10,489","3,214",$1.05,$146.13,$476.92,0,-10.06%,-5.48%
Samsca,Tolvaptan,1,"$33,076,754.13","99,848","4,548","1,022",$331.29,"$7,272.81","$32,364.73",0,"$39,676,003.69","108,127","4,927","1,141",$366.64,"$8,052.77","$34,773.01",0,"$43,640,770.09","110,870","4,935","1,114",$393.05,"$8,843.11","$39,174.84",0,"$55,792,654.33","126,411","5,371","1,199",$440.82,"$10,387.76","$46,532.66",0,"$61,373,563.88","132,031","5,627","1,135",$464.48,"$10,906.98","$54,073.62",0,5.37%,8.81%
Sancuso,Granisetron,1,"$8,945,215.10","20,505","7,454","2,881",$436.24,"$1,200.06","$3,104.90",0,"$9,560,225.71","20,601","7,130","2,767",$464.07,"$1,340.85","$3,455.09",0,"$8,304,141.29","16,447","5,432","2,182",$504.90,"$1,528.74","$3,805.75",0,"$8,602,757.56","15,871","5,772","2,163",$542.04,"$1,490.43","$3,977.23",0,"$9,199,374.75","16,344","5,905","2,150",$562.86,"$1,557.90","$4,278.78",0,3.84%,6.58%
Sandimmune*,Cyclosporine,1,"$1,753,154.07","364,013","2,663",438,$6.16,$658.34,"$4,002.63",0,"$1,414,519.45","265,736","1,797",342,$6.69,$787.16,"$4,136.02",0,"$1,427,057.17","238,574","1,680",374,$7.82,$849.44,"$3,815.66",0,"$1,574,378.79","248,821","1,666",413,$8.21,$945.01,"$3,812.06",0,"$1,226,594.76","191,077","1,361",292,$8.44,$901.25,"$4,200.67",0,2.83%,8.20%
Sandostatin,Octreotide Acetate,1,"$1,701,691.00","19,528",438,97,$103.66,"$3,885.14","$17,543.21",1,"$1,666,234.10","22,586",444,105,$102.16,"$3,752.78","$15,868.90",0,"$1,544,952.83","18,431",388,84,$121.28,"$3,981.84","$18,392.30",0,"$907,185.17","12,100",251,61,$111.30,"$3,614.28","$14,871.89",0,"$301,448.77","12,433",180,50,$24.00,"$1,674.72","$6,028.98",0,-78.44%,-30.64%
Sandostatin Lar Depot,"Octreotide Acetate,Mi-Spheres",1,"$23,463,028.16","6,364","5,072","1,066","$3,695.48","$4,625.99","$22,010.35",0,"$45,351,345.37","11,161","9,056","1,316","$4,083.39","$5,007.88","$34,461.51",0,"$49,603,869.42","10,967","9,067","1,290","$4,522.03","$5,470.81","$38,452.61",0,"$53,218,141.07","11,050","9,295","1,314","$4,803.68","$5,725.46","$40,500.87",0,"$54,164,192.08","10,718","8,998","1,297","$5,059.92","$6,019.58","$41,761.13",0,5.33%,8.17%
Santyl,Collagenase Clostridium Hist.,1, , , ,"189,494", , , , ,"$66,280,047.18","9,572,202","163,356","186,406",$6.92,$405.74,$355.57,0,"$142,206,017.43","19,467,428","390,253","183,225",$7.30,$364.39,$776.13,0,"$141,714,388.18","18,334,624","374,989","175,582",$7.73,$377.92,$807.11,0,"$157,655,272.25","19,458,841","365,393","173,118",$8.10,$431.47,$910.68,0,4.82%,5.38%
Saphris,Asenapine Maleate,1,"$93,575,287.55","6,456,165","137,607","25,124",$14.49,$680.02,"$3,724.54",0,"$115,504,521.06","6,944,413","149,020","23,784",$16.63,$775.09,"$4,856.40",0,"$120,112,235.51","6,464,960","138,573","20,553",$18.58,$866.78,"$5,844.02",0,"$123,434,563.31","6,028,454","129,842","18,291",$20.47,$950.65,"$6,748.38",0,"$115,411,193.10","5,615,203","118,445","16,340",$20.55,$974.39,"$7,063.11",0,0.38%,9.12%
Sarafem,Fluoxetine HCl,1,"$140,299.96","11,254",196,62,$12.47,$715.82,"$2,262.90",0,"$163,183.67","10,598",180,47,$15.40,$906.58,"$3,471.99",0,"$143,381.58","8,273",137,32,$17.34,"$1,046.58","$4,480.67",0,"$140,227.34","7,319",124,28,$19.16,"$1,130.87","$5,008.12",0,"$125,340.88","6,143",113,28,$20.46,"$1,109.21","$4,476.46",0,6.81%,13.19%
Savaysa,Edoxaban Tosylate,1,"$3,031,582.08","331,601","8,557","3,167",$9.14,$354.28,$957.24,0,"$8,324,916.51","871,258","21,763","5,069",$9.56,$382.53,"$1,642.32",0,"$11,775,581.13","1,132,822","27,638","5,330",$10.40,$426.06,"$2,209.30",0,"$9,832,465.20","876,240","21,090","4,200",$11.22,$466.21,"$2,341.06",0,"$8,368,905.07","694,440","16,064","3,135",$12.05,$520.97,"$2,669.51",0,7.39%,7.15%
Savella,Milnacipran HCl,1,"$49,764,416.61","13,196,192","180,913","33,879",$3.77,$275.07,"$1,468.89",0,"$53,971,153.90","11,636,100","154,841","28,419",$4.64,$348.56,"$1,899.12",0,"$55,652,043.24","10,566,383","136,092","25,146",$5.27,$408.93,"$2,213.16",0,"$56,803,158.41","9,712,187","120,997","22,647",$5.85,$469.46,"$2,508.20",0,"$58,563,476.33","9,084,125","108,130","20,843",$6.45,$541.60,"$2,809.74",0,10.23%,14.35%
Scopolamine,Scopolamine,2, , , , , , , , , , , , , , , , ,"$5,342,630.39","345,937","59,914","41,071",$15.44,$89.17,$130.08,0,"$3,881,602.99","274,805","50,522","36,785",$14.12,$76.83,$105.52,1,"$8,694,225.10","546,601","93,695","61,592",$15.91,$92.79,$141.16,0,12.61%,1.49%
Se-Natal 19,PNV No.118/Iron Fumarate/FA,1,"$12,307.09","20,562",455,201,$0.60,$27.05,$61.23,0,"$11,461.48","19,717",432,194,$0.58,$26.53,$59.08,0,"$13,803.28","22,591",532,205,$0.61,$25.95,$67.33,0,"$13,664.86","21,313",502,208,$0.64,$27.22,$65.70,0,"$16,781.07","23,522",539,193,$0.71,$31.13,$86.95,0,11.27%,4.49%
Se-Natal-19,PNV 119/Iron Fum/Folic Acid,1,"$39,403.39","86,540","1,934",693,$0.46,$20.37,$56.86,0,"$30,541.33","72,056","1,533",559,$0.42,$19.92,$54.64,0,"$33,491.76","65,194","1,280",452,$0.51,$26.17,$74.10,0,"$32,137.10","62,345","1,174",476,$0.52,$27.37,$67.51,0,"$41,659.65","69,986","1,302",508,$0.60,$32.00,$82.01,0,15.48%,6.93%
Seasonique,L-Norgest/E.Estradiol-E.Estrad,1,"$115,397.64","38,555",429,167,$2.99,$268.99,$691.00,0,"$87,540.56","28,560",310,139,$3.07,$282.39,$629.79,0,"$76,999.94","22,743",244,99,$3.39,$315.57,$777.78,0,"$85,004.30","23,477",257,100,$3.62,$330.76,$850.04,0,"$96,012.32","23,842",262,101,$4.03,$366.46,$950.62,0,11.22%,7.70%
Seebri Neohaler,Glycopyrrolate,2, , , , , , , , , , , , , , , , ,"$34,948.46","5,280",79,64,$6.62,$442.39,$546.07,0,"$662,079.58","99,414","1,407",542,$6.66,$470.56,"$1,221.55",0,"$647,574.29","96,934","1,464",469,$6.68,$442.33,"$1,380.76",0,0.31%,0.46%
Segluromet,Ertugliflozin/Metformin,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$28,629.16","6,418",88,44,$4.47,$325.33,$650.66,0,"$267,348.50","57,312",800,302,$4.67,$334.19,$885.26,0,4.34%,4.34%
Select-Ob + DHA,Prenatal Vit 33/Iron/Folic/DHA,1,"$39,325.66","25,560",354,149,$1.54,$111.09,$263.93,0,"$41,177.83","24,900",350,139,$1.65,$117.65,$296.24,0,"$14,715.04","7,830",103,55,$1.88,$142.86,$267.55,0,"$19,084.96","9,030",106,53,$2.11,$180.05,$360.09,0,"$13,468.88","6,330",83,37,$2.13,$162.28,$364.02,0,0.68%,8.44%
Selegiline HCl,Selegiline HCl,5,"$7,722,630.00","5,331,038","67,219","13,238",$1.45,$114.89,$583.37,0,"$7,741,327.88","5,719,023","70,596","13,847",$1.35,$109.66,$559.06,0,"$8,222,195.04","5,883,664","70,739","14,190",$1.40,$116.23,$579.44,0,"$8,165,476.14","6,024,438","69,755","14,364",$1.36,$117.06,$568.47,0,"$7,970,490.67","6,189,000","67,934","14,329",$1.29,$117.33,$556.25,0,-4.94%,-2.85%
Selenium Sulfide,Selenium Sulfide,7,"$1,435,209.23","11,409,614","84,378","41,027",$0.12,$17.01,$34.98,0,"$1,302,624.96","10,446,500","77,407","37,770",$0.12,$16.83,$34.49,0,"$1,209,994.10","9,553,600","70,526","34,591",$0.12,$17.16,$34.98,0,"$1,103,179.07","8,887,675","65,787","32,313",$0.12,$16.77,$34.14,0,"$923,065.57","8,457,183","61,804","30,132",$0.11,$14.94,$30.63,0,-9.92%,-2.48%
Selzentry,Maraviroc,1,"$47,479,232.47","2,335,463","34,233","3,684",$20.33,"$1,386.94","$12,887.96",0,"$48,269,795.84","2,226,342","32,778","3,521",$21.68,"$1,472.63","$13,709.12",0,"$49,653,999.90","2,096,575","31,100","3,282",$23.71,"$1,596.59","$15,129.19",0,"$50,721,978.51","2,015,901","28,978","3,103",$25.62,"$1,750.36","$16,346.11",0,"$47,461,983.93","1,822,856","26,246","2,793",$26.50,"$1,808.35","$16,993.19",0,3.46%,6.85%
Semprex-D,Pseudoephedrine HCl/Acrivas,1,"$727,269.36","208,907","2,317",788,$3.48,$313.88,$922.93,0,"$692,266.65","180,953","1,911",614,$3.83,$362.25,"$1,127.47",0,"$704,246.24","167,926","1,723",499,$4.19,$408.73,"$1,411.32",0,"$721,697.05","148,930","1,525",440,$4.85,$473.24,"$1,640.22",0,"$354,051.29","65,654",775,296,$5.39,$456.84,"$1,196.12",0,11.28%,11.56%
Sensipar,Cinacalcet HCl,1,"$945,234,754.15","31,862,967","897,691","138,404",$29.69,"$1,052.96","$6,829.53",0,"$1,225,973,011.30","34,542,678","956,614","148,071",$35.75,"$1,281.58","$8,279.63",0,"$1,436,678,979.50","35,602,019","984,966","154,448",$40.88,"$1,458.61","$9,302.02",0,"$309,218,698.45","8,759,640","245,026","41,943",$35.47,"$1,261.98","$7,372.36",0,"$149,932,376.00","4,247,528","126,505","26,726",$34.90,"$1,185.19","$5,609.98",0,-1.60%,4.13%
Sensorcaine,Bupivacaine HCl,1,$315.64,"1,500",18,14,$0.21,$17.54,$22.55,1, , , , , , , , ,"$1,268.39","9,720",42,23,$0.15,$30.20,$55.15,0,$944.83,"5,600",21,16,$0.17,$44.99,$59.05,1,"$1,277.72","3,211",35,20,$0.77,$36.51,$63.89,0,338.25%,38.40%
Sensorcaine-MPF,Bupivacaine HCl/PF,1,$540.75,"1,571",42,31,$0.38,$12.88,$17.44,1,"$1,366.27","5,281",57,42,$0.27,$23.97,$32.53,1,"$1,755.96","4,601",42,35,$0.38,$41.81,$50.17,1,"$1,878.90","12,850",83,60,$0.15,$22.64,$31.32,0,"$1,775.58","11,621",83,57,$0.21,$21.39,$31.15,0,39.69%,-13.57%
Serevent Diskus,Salmeterol Xinafoate,1,"$48,376,426.74","10,874,310","131,529","31,202",$4.45,$367.80,"$1,550.43",0,"$59,071,917.06","11,054,499","137,588","33,747",$5.34,$429.34,"$1,750.43",0,"$62,806,772.40","10,756,675","134,177","31,727",$5.84,$468.09,"$1,979.60",0,"$62,419,152.93","9,890,522","121,595","28,972",$6.31,$513.34,"$2,154.46",0,"$59,907,778.13","9,198,241","109,986","27,071",$6.51,$544.69,"$2,212.99",0,3.20%,10.00%
Sernivo,Betamethasone Dipropionate,1, , , , , , , , ,"$153,083.43","23,410",190,150,$6.54,$805.70,"$1,020.56",0,"$453,810.38","69,660",563,416,$6.51,$806.06,"$1,090.89",0,"$623,836.13","88,378",696,464,$7.06,$896.32,"$1,344.47",0,"$550,374.01","76,430",608,393,$7.20,$905.22,"$1,400.44",0,2.02%,3.27%
Seroquel,Quetiapine Fumarate,1,"$22,479,715.82","2,286,148","37,263","6,256",$10.40,$603.27,"$3,593.30",0,"$19,229,184.15","1,937,886","31,083","4,728",$10.57,$618.64,"$4,067.09",0,"$16,699,218.69","1,649,194","25,790","3,621",$10.75,$647.51,"$4,611.77",0,"$15,230,075.72","1,509,554","22,953","3,187",$10.70,$663.53,"$4,778.81",0,"$13,694,976.61","1,354,385","20,007","2,892",$10.67,$684.51,"$4,735.47",0,-0.25%,0.65%
Seroquel XR,Quetiapine Fumarate,1,"$584,405,930.02","34,410,507","900,651","123,996",$16.85,$648.87,"$4,713.10",0,"$540,833,939.04","29,424,383","765,243","104,421",$18.24,$706.75,"$5,179.36",0,"$188,164,332.13","10,039,250","261,536","42,274",$18.58,$719.46,"$4,451.07",0,"$32,348,253.80","1,790,419","41,456","10,579",$17.92,$780.30,"$3,057.78",0,"$18,198,867.98","952,401","19,224","2,895",$19.19,$946.67,"$6,286.31",0,7.10%,3.31%
Serostim,Somatropin,1,"$80,868,340.11","205,747","7,258",866,$393.24,"$11,141.96","$93,381.46",0,"$92,009,254.94","218,954","7,701",936,$420.25,"$11,947.70","$98,300.49",0,"$94,497,331.62","207,232","7,241",860,$456.23,"$13,050.32","$109,880.62",0,"$104,745,992.57","214,047","7,457",885,$489.83,"$14,046.67","$118,357.05",0,"$107,140,506.97","204,404","7,099",831,$524.43,"$15,092.34","$128,929.61",0,7.06%,7.46%
Sertraline HCl,Sertraline HCl,15,"$109,113,864.01","614,321,218","12,368,460","2,161,060",$0.18,$8.82,$50.49,0,"$109,705,359.52","668,271,188","13,066,603","2,306,585",$0.17,$8.40,$47.56,0,"$119,520,450.74","714,743,175","13,437,826","2,435,509",$0.17,$8.89,$49.07,0,"$127,605,450.61","763,510,682","13,707,144","2,557,587",$0.17,$9.31,$49.89,0,"$141,982,493.25","812,500,666","13,857,001","2,678,329",$0.18,$10.25,$53.01,0,4.46%,-0.75%
Setlakin,Levonorgestrel/Ethin.Estradiol,1, , , , , , , , ,"$58,339.22","80,807",886,443,$0.72,$65.85,$131.69,0,"$93,757.12","138,678","1,524",572,$0.68,$61.52,$163.91,0,"$104,994.26","139,981","1,537",645,$0.75,$68.31,$162.78,0,"$114,268.68","148,344","1,633",601,$0.77,$69.97,$190.13,0,2.70%,2.18%
Sevelamer Carbonate,Sevelamer Carbonate,11, , , ,"5,162", , , , , , , ,300, , , , ,"$62,743,186.68","14,576,759","64,659","33,524",$4.58,$970.37,"$1,871.59",0,"$374,429,816.68","127,925,746","494,374","126,098",$3.18,$757.38,"$2,969.36",0,"$321,992,425.38","180,147,949","675,318","163,471",$2.05,$476.80,"$1,969.72",0,-35.45%,-33.13%
Sevelamer HCl,Sevelamer HCl,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$13,142,369.83","2,413,771","13,865","5,600",$5.42,$947.88,"$2,346.85",0, , 
Sf,Fluoride (Sodium),1,"$152,086.90","1,376,162","21,128","10,766",$0.11,$7.20,$14.13,0,"$160,650.72","1,588,368","24,267","12,050",$0.10,$6.62,$13.33,0,"$184,139.37","1,873,255","27,709","13,001",$0.10,$6.65,$14.16,0,"$192,093.84","1,934,117","27,422","12,910",$0.10,$7.01,$14.88,0,"$226,780.16","1,934,548","28,540","13,396",$0.12,$7.95,$16.93,0,18.03%,1.48%
Sf 5000 Plus,Fluoride (Sodium),1,"$535,636.33","4,436,886","70,968","36,348",$0.12,$7.55,$14.74,0,"$428,518.73","4,263,415","67,719","34,672",$0.10,$6.33,$12.36,0,"$502,252.65","4,525,029","70,399","35,143",$0.11,$7.13,$14.29,0,"$541,613.44","4,772,938","73,212","37,254",$0.11,$7.40,$14.54,0,"$650,155.54","5,019,815","76,733","38,456",$0.13,$8.47,$16.91,0,14.14%,1.77%
Sfrowasa,Mesalamine,1, , , ,30, , , , ,"$50,121.79","63,000",22,18,$0.80,"$2,278.26","$2,784.54",1,"$83,837.71","105,540",46,13,$0.79,"$1,822.56","$6,449.05",0,"$42,663.20","47,460",23, ,$0.90,"$1,854.92", ,1,"$61,254.30","71,100",37,20,$0.86,"$1,655.52","$3,062.72",0,-4.16%,2.69%
Sharobel,Norethindrone,1,"$66,703.30","115,836","3,144",851,$0.58,$21.22,$78.38,0,"$78,367.21","151,396","4,010","1,015",$0.52,$19.54,$77.21,0,"$106,643.98","202,524","5,070","1,409",$0.53,$21.03,$75.69,0,"$111,598.16","188,666","4,354","1,318",$0.59,$25.63,$84.67,0,"$45,292.54","82,938","1,822",532,$0.55,$24.86,$85.14,0,-7.68%,-1.32%
Shingrix,Varicella-Zoster Ge/As01b/PF,1, , , , , , , , , , , , , , , , ,"$278,287.26","1,894","1,873","1,869",$146.93,$148.58,$148.90,0,"$470,758,395.75","2,918,616","2,916,693","1,887,984",$161.30,$161.40,$249.34,0,"$959,208,534.76","5,771,336","5,769,719","3,853,871",$166.20,$166.25,$248.89,0,3.04%,6.36%
Signifor,Pasireotide Diaspartate,1,"$1,987,334.80","9,420",157,27,$210.97,"$12,658.18","$73,604.99",0,"$2,024,052.07","9,720",159,30,$208.24,"$12,729.89","$67,468.40",0,"$2,107,027.42","10,044",160,25,$209.80,"$13,168.92","$84,281.10",0,"$1,499,070.44","6,600",106,25,$227.22,"$14,142.17","$59,962.82",0,"$1,446,632.22","6,180",103,20,$234.08,"$14,044.97","$72,331.61",0,3.02%,2.63%
Signifor Lar,Pasireotide Pamoate,1,"$1,657,643.79",148,144,31,"$11,199.01","$11,511.42","$53,472.38",0,"$2,945,302.57",256,252,37,"$11,505.06","$11,687.71","$79,602.77",0,"$2,654,436.25",230,224,26,"$11,539.96","$11,850.16","$102,093.70",0,"$2,760,186.03",219,219,24,"$12,603.59","$12,603.59","$115,007.75",0,"$2,397,755.09",222,175,22,"$11,401.77","$13,701.46","$108,988.87",1,-9.54%,0.45%
Siklos,Hydroxyurea,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$23,080.46","2,114",37,17,$16.60,$623.80,"$1,357.67",1, , 
Sildenafil Citrate,Sildenafil Citrate,16,"$30,020,928.17","10,820,649","98,805","23,015",$2.76,$303.84,"$1,304.41",0,"$37,760,546.92","15,030,065","135,518","28,746",$2.49,$278.64,"$1,313.59",0,"$40,057,566.86","16,410,924","148,045","36,453",$3.28,$270.58,"$1,098.88",1,"$58,668,065.56","18,991,523","290,065","63,634",$12.77,$202.26,$921.96,0,"$42,762,105.38","20,777,626","408,028","91,268",$3.15,$104.80,$468.53,1,-75.38%,3.32%
